verified,diggCount,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean,z_score
0,16400,1,4,0,49,21,6,25,520,95000,95000.0,-0.21078628402050098
0,16400,1,6,0,15,11,4,76,286,212500,212500.0,-0.14739603824840056
0,16600,0,4,0,5,16,3,398,76,251100,251100.0,-0.12657166814794885
0,16700,1,0,0,29,0,3,6108,724,218500,218500.0,-0.1441590895281231
0,16700,1,2,0,25,19,2,13,174,322100,322100.0,-0.0882677749579988
0,16700,1,9,0,53,19,4,539,504,94200,94200.0,-0.21121787718320464
0,16800,0,4,0,13,14,4,198,150,139300,139300.0,-0.18688681263578566
0,16800,0,11,0,8,9,6,226,121,384900,384900.0,-0.0543877116857613
0,17000,0,9,0,11,16,2,225,78,189100,189100.0,-0.16002013825748268
0,17100,1,2,0,10,21,1,84,321,345200,345200.0,-0.07580552238493055
0,17100,1,5,0,58,15,6,370,241,119000,119000.0,-0.1978384891393911
0,17200,1,12,0,11,22,3,57,80,215600,215600.0,-0.14572361474292386
